Title,Partner,Subject,Description,Rating,Level,Duration (in hour),Skills,URL
microsoft business analyst professional certificate,Microsoft,Business Strategy,launch career business analyst build jobready skill indemand career business analysis little month prior experience required get started,4.6,Beginner level,120.0,business process modeling pivot table chart business analysis excel formula requirement analysis scrum software development user story requirement elicitation microsoft excel,https://www.coursera.org/professional-certificates/microsoft-business-analyst
data engineering foundation specialization,IBM,Data Management,build foundation data engineering career develop handson experience python sql relational database master fundamental data engineering ecosystem,4.7,Beginner level,80.0,database design database management system big data data store database sql data governance data warehousing data transformation data pipeline stored procedure ibm db,https://www.coursera.org/specializations/data-engineering-foundations
psychological first aid,Johns Hopkins University,Psychology,psychological first aid,4.8,Beginner level,6.0,trauma care crisis intervention triage stress management interpersonal communication patient referral community development rapport building active listening psychological evaluation,https://www.coursera.org/learn/psychological-first-aid
tableau business intelligence analyst professional certificate,Tableau Learning Partner,Data Analysis,launch career data analytics build indemand skill gain credential go beginner jobready month less degree prior experience required,4.7,Beginner level,320.0,spatial data analysis data visualization software dashboard tableau software business analysis exploratory data analysis requirement elicitation data governance data warehousing,https://www.coursera.org/professional-certificates/tableau-business-intelligence-analyst
think like cfo specialization,IESE Business School,Finance,think like cfo specialization,4.8,Beginner level,40.0,balance sheet working capital capital budgeting corporate finance financial management financial statement analysis accounting management accounting capital market cash flow,https://www.coursera.org/specializations/thinklikeacfo
meta react specialization,Meta,Mobile and Web Development,master fundamental advanced react concept learn react basic concept advanced practice,4.8,Intermediate level,40.0,html cs eventdriven programming reactjs unit testing ui component javascript integration testing javascript framework web application frontend web development,https://www.coursera.org/specializations/meta-react-specialization
excel skill business specialization,Macquarie University,Business Essentials,learn excel skill business master excel add highly valuable asset employability portfolio,4.9,Beginner level,120.0,dashboard data integrity data validation loan excel formula data cleansing business reporting microsoft excel data modeling excel macro data analysis expression dax data visualization,https://www.coursera.org/specializations/excel
business strategy specialization,University of Virginia,Business Strategy,steer business success generate value demonstrate global impact four course,4.8,Beginner level,40.0,governance growth strategy plan execution new business development project management business strategy innovation business research market analysis peer review strategic thinking,https://www.coursera.org/specializations/business-strategy
microsoft copilot leader specialization,Vanderbilt University,Machine Learning,copilot mastery leader master microsoft copilot redefine leadership productivity,4.8,Beginner level,40.0,verification validation ideation microsoft team microsoft chatgpt data validation prompt engineering proposal writing succession planning meeting facilitation,https://www.coursera.org/specializations/microsoft-365-copilot-for-leaders
ibm scrum master professional certificate,IBM,Leadership and Management,advance career scrum master develop indemand skill handson experience get jobready month,4.8,Beginner level,120.0,development environment software architecture agile project management computer hardware agile software development engineering software scrum software development user story,https://www.coursera.org/professional-certificates/ibm-it-scrum-master
ibm data science professional certificate,IBM,Data Analysis,prepare career data scientist build jobready skill musthave ai skill indemand career earn credential ibm prior experience required,4.6,Beginner level,40.0,data visualization software data wrangling dashboard matplotlib unsupervised learning exploratory data analysis plotly professional networking supervised learning sql data mining,https://www.coursera.org/professional-certificates/ibm-data-science
machine learning specialization,Stanford University,Machine Learning,breakintoai machine learning specialization master fundamental ai concept develop practical machine learning skill beginnerfriendly course program ai visionary andrew ng,4.9,Beginner level,80.0,machine learning algorithm machine learning machine learning method applied machine learning unsupervised learning random forest algorithm classification regression tree cart,https://www.coursera.org/specializations/machine-learning-introduction
crash course python,Google,Support and Operations,course part google automation python professional certificate,4.8,Beginner level,40.0,data structure integrated development environment debugging algorithm computational thinking computer programming programming principle problem management python programming,https://www.coursera.org/learn/python-crash-course
graphic design specialization,California Institute of the Arts,Music and Art,make compelling design learn apply principle graphic design towards comprehensive branding project,4.7,Beginner level,80.0,adobe indesign digital design graphic visual design art history branding logo design design strategy photo editing creative design style guide peer review,https://www.coursera.org/specializations/graphic-design
ai agent developer specialization,Vanderbilt University,Machine Learning,master skill ai agent software developer learn design build refine intelligent software agent using python generative ai agentic architecture realworld application,4.8,Beginner level,80.0,document management verification validation large language modeling agentic system ideation productivity chatgpt openai data validation software development prompt engineering,https://www.coursera.org/specializations/ai-agents
ibm product owner professional certificate,IBM,Leadership and Management,get jobready product owner month build skill employer look resume prepare pspo certification exam prior experience required,4.7,Beginner level,80.0,market intelligence agile project management product roadmaps virtual team chatgpt computer hardware stakeholder communication agile software development user story kanban principle,https://www.coursera.org/professional-certificates/ibm-product-owner
geographic information system gi specialization,"University of California, Davis",Data Analysis,map world gi explore tool concept terminology spatial analysis modeling,4.8,Beginner level,80.0,spatial data analysis data mapping data visualization software geographic information system file management land management spatial analysis geospatial mapping public health,https://www.coursera.org/specializations/gis
human resource management hr people manager specialization,University of Minnesota,Business Strategy,become better manager people develop strategy skill hiring managing performance rewarding employee,4.8,Beginner level,80.0,constructive feedback employee performance management job analysis workforce planning performance review performance management compensation benefit human resource people management,https://www.coursera.org/specializations/human-resource-management
ibm generative ai engineering professional certificate,IBM,Machine Learning,develop jobready gen ai skill employer need build highly soughtafter gen ai engineering skill practical experience month prior experience required,4.7,Beginner level,240.0,unit testing kera neural network library data wrangling large language modeling applied machine learning pytorch machine learning library flask web framework unsupervised learning,https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering
process data dirty clean,Google,Data Analysis,course part google data analytics professional certificate,4.8,Beginner level,40.0,data transformation data integrity sample size determination data validation spreadsheet software data processing sampling statistic data cleansing data quality sql data analysis,https://www.coursera.org/learn/process-data
foundation user experience ux design,Google,Design and Product,course part google ux design professional certificate,4.8,Beginner level,40.0,design thinking sprint planning web content accessibility guideline usability testing user research usability prototyping persona user experience user centered design wireframing,https://www.coursera.org/learn/foundations-user-experience-design
discover art prompting,Google,Machine Learning,course part google ai essential specialization,4.9,Beginner level,40.0,prompt engineering content creation technical writing large language modeling,https://www.coursera.org/learn/google-discover-the-art-of-prompting
ai python beginner,DeepLearning.AI,Software Development,ai python beginner,4.8,Beginner level,40.0,jupyter large language modeling scripting computer programming application development data analysis artificial intelligence application programming interface api automation,https://www.coursera.org/learn/ai-python-for-beginners
architecting google compute engine specialization,Google Cloud,Cloud Computing,launch career cloud architecture design develop manage cloud solution drive business objective,4.7,Intermediate level,40.0,containerization identity access management cloud computing service level agreement microservices application deployment service level prompt engineering cloud storage,https://www.coursera.org/specializations/gcp-architecture
human anatomy medical terminology fundamental specialization,MedCerts,Basic Science,human anatomy physiology allied health learn anatomical structure terminology relevant human body interactive engaging online content,4.8,Beginner level,40.0,general medical test procedure cardiology medical billing coding health information management medical record anatomy urology neurology pulmonology physical therapy,https://www.coursera.org/specializations/human-anatomy-medical-terminology-fundamentals
project planning putting together,Google,Leadership and Management,course part google project management professional certificate,4.8,Beginner level,40.0,project schedule estimation procurement timeline project planning project documentation strategic thinking communication planning project management budgeting risk management,https://www.coursera.org/learn/project-planning-google
python data science ai development,IBM,Data Analysis,course part multiple program learn,4.6,Beginner level,40.0,application programming interface api data structure object oriented programming oop file management numpy python programming data manipulation computer programming jupyter,https://www.coursera.org/learn/python-for-applied-data-science-ai
adp entrylevel payroll specialist professional certificate,"Automatic Data Processing, Inc. (ADP)",Finance,become successful entrylevel payroll specialist gain knowledge develop jobready skill exciting career diverse field payroll degree experience required,4.7,Beginner level,40.0,benefit administration payroll processing labor law tax management compensation benefit human resource tax compliance payroll system compensation management labor compliance,https://www.coursera.org/professional-certificates/adp-payroll-specialist
hrci human resource associate professional certificate,HRCI,Leadership and Management,launch career human resource program youll learn indemand skill career human resource associate degree prior experience needed courseras learner first award winner,4.8,Beginner level,40.0,employee performance management business continuity planning job analysis performance management compensation benefit employee relation compensation management recruitment,https://www.coursera.org/professional-certificates/hrci-human-resource-associate
